rank,items,positions,layout,config_items_to_assign,config_positions_to_assign,config_items_assigned,config_positions_assigned,config_items_constrained,config_positions_constrained,objectives_used,weights_used,maximize_used,engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger,combined_score
130,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[L],[R],[U],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[L],[R],[U],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503614403,0.757035497,0.719776726,0.862990542,0.710854292
131,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[L],[I],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[L],[I],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503421836,0.755996565,0.720303667,0.864357174,0.711019810
132,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[A],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[A],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502744566,0.757673396,0.720647642,0.863954372,0.711254994
133,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[S],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[S],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503329585,0.757270379,0.719877444,0.864634761,0.711278043
134,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[S],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[S],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503306144,0.757624708,0.719747383,0.863115314,0.710948387
135,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503097329,0.757053597,0.720966322,0.865491885,0.711652283
136,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[U],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[R],[U],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.503074374,0.757408225,0.720831430,0.863965343,0.711319843
137,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[I],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[I],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502881478,0.756367820,0.721362971,0.865338596,0.711487716
138,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[L],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[L],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502877377,0.756738321,0.721073972,0.864787527,0.711369299
139,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[L],[U],[I]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[D],[;],[L],[U],[I]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502854919,0.757089889,0.720934988,0.863266787,0.711036646
140,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[L],[R],[D],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[L],[R],[D],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502786446,0.758268607,0.720049089,0.862152516,0.710814165
141,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[L],[R],[D],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[L],[R],[D],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502554430,0.758601796,0.720101807,0.860793699,0.710512933
142,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502244458,0.758643648,0.721102283,0.863123002,0.711278348
143,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502013256,0.758976523,0.721151216,0.861756940,0.710974484
144,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[L]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[D],[L]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502165706,0.758909791,0.720744360,0.861413512,0.710808342
145,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[U],[D]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[R],[U],[D]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502128476,0.757833743,0.721160379,0.862875763,0.710999590
146,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[D],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[D],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502004483,0.757035382,0.721645296,0.863679085,0.711091061
147,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[L],[D],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[F],[K],[J],[I],[;],[L],[D],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502026343,0.758306064,0.721183964,0.862427512,0.710985971
148,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[J],[R],[S],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[J],[R],[S],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500655387,0.755494063,0.720441081,0.870615004,0.711801384
149,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[J],[R],[U],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[J],[R],[U],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500422984,0.755280743,0.721607892,0.871553493,0.712216278
150,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[S]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[S]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500230605,0.755391594,0.720035059,0.871206777,0.711716009
151,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499991667,0.756243467,0.721296781,0.871168588,0.712175126
152,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[L]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[K],[R],[J],[L]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500146181,0.756101167,0.720844977,0.870850358,0.711985671
153,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[;],[R],[J],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[A],[D],[;],[R],[J],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499280194,0.756542857,0.722301302,0.872118296,0.712560662
154,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[A],[R],[S],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[A],[R],[S],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.501930450,0.756305257,0.720110930,0.866364329,0.711177742
155,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[A],[R],[U],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[A],[R],[U],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.501698670,0.756100900,0.721222085,0.867228638,0.711562573
156,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[K],[R],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[J],[D],[K],[R],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502471521,0.756717384,0.720379533,0.866341412,0.711477462
157,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[S],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[S],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502116994,0.756994127,0.720092575,0.866214822,0.711354630
158,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[U],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[U],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.501885050,0.756781271,0.721243687,0.867131465,0.711760368
159,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[L],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[J],[R],[L],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.502024532,0.757134479,0.720128073,0.866050131,0.711334304
160,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[;],[R],[J],[A]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[F],[K],[D],[;],[R],[J],[A]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500752514,0.758042632,0.721923295,0.867682562,0.712100250
161,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[U],[R],[F],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[U],[R],[F],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499535286,0.757928497,0.722062084,0.868762027,0.712071973
162,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[K],[R],[F],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[K],[R],[F],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499991674,0.758178653,0.721895857,0.868463236,0.712132355
163,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[K],[R],[F],[L]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[K],[R],[F],[L]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500146053,0.758044816,0.721396244,0.868092532,0.711919911
164,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[S],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[S],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.498631366,0.758569264,0.722920300,0.869400819,0.712380437
165,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[F],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[F],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499280827,0.758489467,0.722852721,0.869342990,0.712491501
166,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[K],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[K],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.498249112,0.758827007,0.723209485,0.869082657,0.712342065
167,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[L],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[R],[L],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.498540062,0.758709787,0.722960023,0.869233122,0.712360749
168,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[K],[F],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[D],[;],[K],[F],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.498931631,0.758284865,0.722943708,0.868383576,0.712135945
169,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[W],[R],[D],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[W],[R],[D],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499946854,0.758192593,0.720978869,0.868420981,0.711884824
170,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[U],[R],[D],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[U],[R],[D],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500057076,0.757939653,0.721234010,0.868236855,0.711866898
171,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[D],[U]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[D],[U]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500513414,0.758189818,0.721068551,0.867938769,0.711927638
172,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[D],[L]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[D],[L]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500667668,0.758055973,0.720570265,0.867568968,0.711715718
173,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[U],[L]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[K],[R],[U],[L]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.500019380,0.757813938,0.721525968,0.868296612,0.711913975
174,etaoinsrhldcumfpgwybvkxjqz,"Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[;],[R],[D],[K]","etaoinsrhldcumfpgwybvkxjqz -> Q,W,E,R,A,S,D,F,U,I,O,P,J,K,L,;,[Q],[E],[I],[J],[A],[F],[;],[R],[D],[K]",etaoinsrhldcumfpgwybvkxjqz,QWERASDFUIOPJKL;,,,,,"engram_key_preference,engram_row_separation,engram_same_row,engram_same_finger","1.0,1.0,1.0,1.0","True,True,True,True",0.499803303,0.758500663,0.722022411,0.868816310,0.712285672
